spp,sv,masa,log.sv,log.masa,l_papus,area_p,pl_m,tipo_papus,Latitud,Longitud,altitud,Ecoregion,habito,muestreo,Tribu,cod_gps,bio1,bio4,bio12,bio15,cover,wind.speed,air.density
Nardophyllum_armatum,1.21856902395208,6.31111111111111,0.177816057392449,1.75185059198386,10.4565555555556,343.963663423065,0.0187202949125697,setose,-24.303755,-66.140665,3988.775,Central_Andean_puna,arbusto,norte_2022,Astereae,Abra Blanca,7.42916679382324,340.256988525391,143,115.798156738281,0,5.06321716308594,0.789894044399261
Nardophyllum_bryoides,0.830672555019331,0.894444444444444,-0.197520112554122,-0.128896579475497,5.82766666666667,106.989775374298,0.00840968520761977,setose,-48.383308,-70.663856,466,Patagonian_steppe,arbusto,Sur_2021,Astereae,RN40,8.85416698455811,496.581329345703,157,24.682430267334,1,5.45747995376587,1.17953753471375
Picradeniopsis_multiflora,1.42984618372833,0.384444444444444,0.349317079581702,-0.979923709420713,1.87833333333333,11.3397305267773,0.0356653611334084,paleaceous,-24.365466,-66.091174,3722.081,Central_Andean_puna,hierba,norte_2022,Bahieae,Las Cuevas,8.73333358764648,335.852600097656,149,117.696983337402,0,5.30171489715576,0.80963259935379
Porophyllum_cabrerae,1.29028333250101,0.851111111111111,0.221930229671164,-0.185650975207995,6.54088888888889,135.02801682336,0.00639481809765384,setose,-25.154938,-65.991319,2935.081,Monte,hierba,norte_2022,Tageteae,Recta del Tin-Tin,11.9250001907349,358.605255126953,168,121.771438598633,0,2.50248765945435,0.877762138843536
Porophyllum_obscurum,0.453547728841103,0.544444444444444,-0.799937549092002,-0.616651154709327,8.841,246.503636044871,0.00226138468068778,setose,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,hierba,norte_2022,Tageteae,Campo Quijano,15.3541669845581,356.845123291016,435,109.33625793457,22,0.931084096431732,0.999824166297913
Porophyllum_ruderale,0.466813987756156,0.827777777777778,-0.772202692948822,-0.207616344423727,8.77017389044798,242.852895169069,0.00348661866640107,setose,-25.124293,-65.041981,748,Dry_Chaco,hierba,norte_2022,Tageteae,Juramento,19.3833332061768,432.121246337891,606,99.5400695800781,16,2.6230640411377,1.09672605991364
Praxelis_clematidea,0.502130038632069,0.191111111111111,-0.700820270626622,-1.68354467002473,3.97566666666667,49.8894935070624,0.0039094832804042,setose,-25.159,-65.612,1533,Southern_Andean_Yungas,hierba,norte_2020,Eupatorieae,Rio escoipe,15.8041667938232,363.771026611328,406,110.840797424316,85,0.47335746884346,1.00704455375671
Sanvitalia_sp,2.25784850783961,1.13375,0.809633104692444,0.11200805067957,0.901375,2.80117713492936,0.588294848918491,aristate,-25.124293,-65.041981,748,Dry_Chaco,hierba,norte_2022,Heliantheae,Juramento,19.3833332061768,432.121246337891,606,99.5400695800781,16,2.6230640411377,1.09672605991364
Schkuria_pinnata,2.28334512829396,1.00777777777778,0.821563928128206,0.00432538134767925,2.24477777777778,15.915375752795,0.0641281866433021,paleaceous,-30.319529,-63.925994,464.821,Dry_Chaco,hierba,norte_2022,Bahieae,Pisco Huasi,17.4249992370605,461.748168945312,737,69.0372085571289,3,3.29363632202148,1.14077949523926
Senecio_argophylloides,0.562551980155642,0.788888888888889,-0.628025212447774,-0.272689647002764,6.89055555555556,151.746870256208,0.00565271465774049,setose,-25.166542,-65.849998,2953.698,Central_Andean_puna,hierba,norte_2022,Senecioneae,Mirador de la virgen,11.3583335876465,334.47265625,201,118.178695678711,0,2.24771595001221,0.875411152839661
Senecio_argyreus,0.598256959310608,1.49,-0.534108167084582,0.27732112411966,8.98016666666667,253.845502995192,0.00604807676792126,setose,-50.4996296,-73.0435309,193,Patagonian_forests,arbusto,Sur_2021,Senecioneae,Tehuelche,5.62916660308838,359.371032714844,850,11.750147819519,53,3.9970121383667,1.18383991718292
Senecio_arnottii,0.754397568981233,0.545,-0.287163883457085,-0.659679126925411,6.001,113.487716115553,0.00483571246633238,setose,-50.4925138,-73.0476839,186,Patagonian_forests,cojin,Sur_2021,Senecioneae,Domo,5.62916660308838,359.371032714844,850,11.750147819519,0,6.33108043670654,1.21283006668091
Senecio_fiesii,0.595729131903854,1.87,-0.524914707305721,0.618388700006457,9.20666666666667,267.306312788763,0.00721398338959236,setose,-25.234324,-65.919181,3148.578,Monte,hierba,norte_2022,Senecioneae,PN Los Cardones,11.0249996185303,351.907165527344,177,117.950691223145,0,3.3090648651123,0.860194683074951
Senecio_filaginoides,0.710453160744552,0.979444444444444,-0.371900453518749,-0.0966056190190573,7.33672222222222,171.7513498137,0.00585377323149932,setose,-24.587958,-65.845086,2596.357,Monte,arbusto,norte_2022,Senecioneae,Barreal,13.2958335876465,359.276153564453,228,119.506561279297,0,5.46298551559448,0.902924835681915
Senecio_miser,0.611899541142358,0.594444444444445,-0.568793695599254,-0.545274446865917,5.94066666666667,111.008348853125,0.00532863915978976,setose,-48.383308,-70.663856,466,Patagonian_steppe,cojin,Sur_2021,Senecioneae,RN40,8.85416698455811,496.581329345703,157,24.682430267334,1,5.45747995376587,1.17953753471375
Senecio_octolepis,0.627918967423749,1.02111111111111,-0.472173339762732,0.0119468779397961,5.30755555555556,88.9327005113274,0.0117692529723826,setose,-25.166542,-65.849998,2953.698,Central_Andean_puna,hierba,norte_2022,Senecioneae,Mirador de la virgen,11.3583335876465,334.47265625,201,118.178695678711,0,2.24771595001221,0.875411152839661
Senecio_pampae,0.466731332662297,0.711111111111111,-0.77099703072548,-0.400837536602967,7.55466666666667,182.382428318547,0.00430121148303656,setose,-22.25,-65.125,4271,Central_Andean_puna,arbusto,norte_2020,Senecioneae,Camino a Santa Victoria,7.72499990463257,284.696807861328,334,106.997894287109,2,4.9610595703125,0.773733973503113
Senecio_rufescens,1.08562548506454,0.986666666666667,0.0640476279227362,-0.251738576372583,7.12444444444444,160.092631568188,0.00618107945997401,setose,-22.25,-65.125,4271,Central_Andean_puna,arbusto,norte_2020,Senecioneae,Camino a Santa Victoria,7.72499990463257,284.696807861328,334,106.997894287109,2,4.9610595703125,0.773733973503113
Senecio_socompae,0.73034165232283,1.45,-0.336775629020097,0.358549806684897,7.68416666666667,191.529676413502,0.0082043305359308,setose,-24.365466,-66.091174,3722.081,Central_Andean_puna,arbusto,norte_2022,Senecioneae,Las Cuevas,8.73333358764648,335.852600097656,149,117.696983337402,0,5.30171489715576,0.80963259935379
Smallanthus_connatus,2.94808408525544,9.32666666666667,1.07333834494854,1.88867680086898,0,0,93266666.6666667,epappose,-25.116442,-65.602071,1452.464,Southern_Andean_Yungas,arbusto,norte_2022,Millerieae,Quebrada Escoipe,16.595832824707,380.206024169922,483,109.855293273926,50,1.52029085159302,1.02576911449432
Solidago_chilensis,0.286841172772372,0.11,-1.25894723069257,-2.26930700283666,3.33011111111111,35.2112898566875,0.00311379676991119,setose,-27.702,-65.915,1796,Southern_Andean_Yungas,hierba,norte_2020,Astereae,Rio singuil,15.7291669845581,482.985321044922,487,88.2777404785156,16,1.12648928165436,0.988590240478516
Stevia_satureiifolia,0.768802563961017,0.495555555555556,-0.280746900292425,-0.738725036126661,6.21,121.619341236276,0.00412633369078966,paleaceous,-30.319529,-63.925994,464.821,Dry_Chaco,hierba,norte_2022,Eupatorieae,Pisco Huasi,17.4249992370605,461.748168945312,737,69.0372085571289,3,3.29363632202148,1.14077949523926
Stevia_sp2,0.560848194931771,0.37,-0.587566706713914,-1.01898505947774,5.84166666666667,107.694909336055,0.00357478359511076,setose,-25.234324,-65.919181,3148.578,Monte,hierba,norte_2022,Eupatorieae,PN Los Cardones,11.0249996185303,351.907165527344,177,117.950691223145,0,3.3090648651123,0.860194683074951
Tagetes_campanulata,2.19906884640329,0.975555555555556,0.78324102657846,-0.109995524623918,5.45455555555556,93.5623835744479,0.010505801964826,paleaceous,-25.178178,-65.816128,2658.987,Central_Andean_puna,hierba,norte_2022,Tageteae,Pie de Cuesta,12.4499998092651,340.367462158203,224,115.51000213623,1,2.08322334289551,0.905916452407837
Tagetes_filifolia,1.52482068935106,0.456666666666667,0.380851590740499,-0.809800817343431,3.729,45.8869714723,0.0117873646589505,paleaceous,-25.185098,-65.780477,2192.787,Central_Andean_puna,hierba,norte_2022,Tageteae,Maray,14.1583337783813,355.565063476562,258,115.966636657715,0,2.44810342788696,0.929461598396301
Thelesperma_megapotamicum,1.21388173415141,1.21833333333333,0.182611126730225,0.188778297142688,6.936,151.375085804002,0.00807863008800306,setose,-48.37304,-72.041184,643,Patagonian_steppe,hierba,Sur_2021,Coreopsideae,uniflora,6.73749971389771,424.0986328125,338,26.3894062042236,26,6.29833555221558,1.16385757923126
Trichocline_reptans,0.604208939836799,1.50666666666667,-0.506830562453692,0.403896980906635,10.547,349.605131655925,0.00429989088374445,setose,-25.185098,-65.780477,2192.787,Central_Andean_puna,hierba,norte_2022,Mutisieae,Maray,14.1583337783813,355.565063476562,258,115.966636657715,0,2.44810342788696,0.929461598396301
Trichocline_sp,0.40934673426738,1.11666666666667,-0.896393219684419,0.108383750855419,9.01066666666667,255.213028328923,0.00437249202980253,setose,-25.197444,-65.842164,3089,Central_Andean_puna,hierba,norte_2022,Mutisieae,Valle Encantado,10.9333333969116,331.129821777344,198,116.86695098877,8,1.87945139408112,0.864861190319061
Tridax_procumbens,0.569464979261534,0.631111111111111,-0.565681949136808,-0.471289767993651,4.87733333333333,75.3427382729707,0.00851530735695578,setose,-25.275374,-65.333683,990.536,Dry_Chaco,hierba,norte_2022,Millerieae,Dique Cabra Corral,18.0208339691162,406.730102539062,528,108.308074951172,7,2.33670210838318,1.06030178070068
Verbesina_encelioides,1.85947647887024,4.26888888888889,0.617362356558894,1.44536110951569,1.531,9.35691153093728,4933334.0328544,aristate,-30.319529,-63.925994,464.821,Dry_Chaco,hierba,norte_2022,Heliantheae,Pisco Huasi,17.4249992370605,461.748168945312,737,69.0372085571289,3,3.29363632202148,1.14077949523926
